course_title,department,department_full,all_departments,course_number,level,description,classification,sdgs,syllabus_url,semester
Program Design and Concepts,CSCE,Computer Science and Engineering,CSCE,120,Undergraduate,"Extend prior programming knowledge to create computer programs that solve problems; use the C++ language; apply computational thinking to enhance problem-solving; analyze, design, and implement computer programs; use basic and aggregate data types to develop functional and object-oriented solutions; develop classes that use dynamic memory and avoid memory leaks; learn error handling strategies to develop more secure and robust programs.",Inclusive,"8,9",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=61755,Summer 2025
Advanced Computer Architecture,ECEN,Electrical and Computer Engineering,ECEN,469,Undergraduate,"Computer architects have been striving to improve performance and efficiency since the first stored program computer was designed half a century ago. Superscalar execution is a key technique towards this aim. Superscalar processors issue more than one instruction per cycle. Most modern microprocessors from the latest smartphone ARM processors, to Intel Skylake I7s, to IBM’s latest Power8 employ superscalar issue and other instruction-level parallelism techniques to enhance their performance. This course examines the tradeoffs and design considerations in the design of superscalar or instruction level parallel (ILP) microprocessors. The course will also explore other current microarchitectural approaches to improve performance and efficiency.",Inclusive,"8,9",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=35297,Summer 2025
Machine Learning for Electrical Engineers,ECEN,Electrical and Computer Engineering,ECEN,250,Undergraduate,"This course provides an engineering application-focused introduction to Machine Learning. This course covers key machine learning concepts, guidance on selecting machine learning models, and application of python-based tools for data preparation, model development, and performance evaluation; Labs will provide practical engineering use-cases for machine learning from electronics, energy, motors, robotics, security, computer systems, and health. A final machine learning laboratory project including dataset management, ML model development, visualization, and deployment to an IoT platform will be used to showcase ML expertise.",Inclusive,"8,9",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=57828,Summer 2025
Instructional Technology and Design,EHRD,Educational Administration and Human Resource Development,EHRD,402,Undergraduate,"This course covers instructional design principles; development of instruction; contemporary issues and trends; foundations in learning research; requirements for instruction, task and needs analysis; learning situations and instructional models; hardware and software innovations; assessing instructional outcomes; factors affecting utilization.",Inclusive,"4,8,9",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=62735,Summer 2025
Applied HRD in the Workplace,EHRD,Educational Administration and Human Resource Development,EHRD,315,Undergraduate,"This course examines an overview course designed for all individuals planning to carry out HRD interventions or manage people – whether as part of human resource management (HRM), human resource development (HRD) or as a manager in another organizational function. EHRD 315 is an introduction to the systematic management of organizational assets, specifically, its human resources and the implications for designing and delivering HRD interventions.",Inclusive,8,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=59249,Summer 2025
Design Process,ENDS,Architecture,ENDS,101,Undergraduate,"Fundamental design processes, issues and theories relevant to design resolution and the creation of new ideas; creative thought processes from the formation of ideas through incubation to final product and future impact on the physical environment and society.",Inclusive,8,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=63987,Summer 2025
Transnational Literature & Culture,ENGL,English,ENGL,306,Undergraduate,"Examination of texts written in English that de-center the nation-state as the central way to organize cultural comparison; includes colonialism, economics, empire, globalization, and multiple subsections of the transnational experience. This course reads contemporary literature (fiction and poetry) to consider how various authors imagine what it means to be a global citizen, rather than just a national one. By conceptualizing what transnational literature is and how it shapes or reshapes the literary imagination, we’ll consider how contemporary writers and thinkers offer us new–and old–ways of thinking about ourselves as part of the globe.",Inclusive,10,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202611&crn=57650,Summer 2025
Embedded Systems Software,ESET,Engineering Technology and Industrial Distribution,ESET,369,Undergraduate,"A study of the technical aspects of embedded computer software systems, with emphasis on embedded real-time systems, programming techniques and development methodologies.",Inclusive,9,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=40626,Summer 2025
Foundations of Money Education,FINP,Agricultural Economics,FINP,235,Undergraduate,"The course is designed to help students become prepared for a financially challenging world and to introduce the concepts and methods of personal financial literacy. Topics include financial well-being, financial planning, compound interest and the time value of money, inflation, taxes, banking, cultural influences on money, consumerism, credit, car and home acquistition, insurances, estate planning, investments, and retirement planning.",Inclusive,8,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=64010,Summer 2025
Field Geography,GEOG,Geography,GEOG,450,Undergraduate,"Field geography is a unique course that compliments the geography curriculum by engaging students in real world situations. Students have an opportunity to apply their knowledge of previously learned concepts and ideas, and students are introduced to the equipment, terminology, and techniques of working in the field. The successful outcome of this course, which is my goal, is to (1) increase your understanding of the field as geographers use the term, (2) introduce students to the procedures and equipment that are used to record and utilize field data, (3) facilitate your interest and knowledge of direct observation to appreciate the cultural and ecological diversity of our local environments.",Inclusive,15,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=53273,Summer 2025
Disasters & Society,GEOL,Geology and Geophyiscs,GEOL,110,Undergraduate,"This course will explore the science behind disasters; how they occur, the choices society makes that create or affect disasters, how certain populations are privileged during disasters by the decisions society has made, and how science informs preparation for and response to future disasters.",Inclusive,"11,13",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=58684,Summer 2025
Introduction to Global Studies,GLST,Global Languages and Cultures,GLST,201,Undergraduate,"This course emphasizes curriculum offerings in the department of Global Languages and Cultures, a humanities approach to global studies and globalization, theories and approaches in the field of global studies to foster critical thinking. Students learn to evaluate global issues with a focus on human culture, and to connect the local to the global.",Inclusive,"10,17",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=61579,Summer 2025
Human Sexuality,HLTH,Health Behavior,HLTH,342,Undergraduate,"This course will focus on three primary goals: enhancing knowledge, increasing comfort, and facilitating communication about sex. You will be tasked with learning about human sexuality topics, then be able to teach human sexuality to others.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=58015,Summer 2025
Women's Health,HLTH,Health Behavior,HLTH,334,Undergraduate,"Women’s Health is designed to provide you, the student, with the opportunity to explore the health issues and health care concerns of women by identifying a broad range of health topics that are either unique to women or of special importance to women. The multidimensional roles of women as individuals, partners, mothers, nurturers, caretakers, and career persons create a need for their health status to be of vital importance. While women and men both experience similar diseases, disorders, and causes of death, women often experience these in different forms and at different stages and ages in life.",Inclusive,"3,5",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=61997,Summer 2025
Intro to Health Disparity and Diversity,HLTH,Health Behavior,HLTH,236,Undergraduate,"Intro to Health Disparity and Diversity (HLTH 236) course will explore in-depth the racial, ethnic, and cultural dimensions that underlie health and health disparities. Special attention will be paid to culture, social economic status, and governmental policies as they influence the adaptation of health practices. The aim of this course is to introduce students to important health issues that face individuals of differentracial and ethnic backgrounds. This course will address and explore a range of issuesrelated to the health status of various racial and ethnic groups.",Inclusive,"3,10",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=63123,Summer 2025
Healthy Lifestyles,HLTH,Health Behavior,HLTH,231,Undergraduate,"HLTH 231, Healthy Lifestyles, introduces a variety of health issues that affect college students, including mental health, stress management, injury prevention, conflict resolution, alcohol/drug use and abuse, physical activity, nutrition, spirituality, and environmental health. Students will explore how these concepts interconnect and develop a holistic understanding of what it means to live healthfully.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=21758,Summer 2025
"Global Communities & Diverse Populations in Hospitality, Hotel Management and Tourism",HMGT,"Hospitality, Hotel Management, and Tourism",HMGT,340,Undergraduate,"This course will examine the impact of various demographic factors on leisure/tourism patterns of people in the United States, and the implications for hospitality, hotel management, and tourism. Students will investigate the impacts of marginalization on various groups and discuss ways to make space welcoming for all. Students will be offered the opportunity to articulate this knowledge intellectually and apply it to everyday living and practices.",Inclusive,"8,10,12,16",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=62634,Summer 2025
Applications of Tourism Principles,HGMT,"Hospitality, Hotel Management, and Tourism",HGMT,302,Undergraduate,"Tourism principles applied at local, regional and international levels; examination of the scale, scope and organization of the industry including marketing destinations and experiences; issues related to the economic, technological and political aspects of tourism.",Inclusive,"8,12",,Summer 2025
Managing Hospitality and Recreation Organizations,HGMT,"Hospitality, Hotel Management, and Tourism",HGMT,223,Undergraduate,"Management theory, best practices and functions associated within hospitality, hotel and tourism agencies; concepts and issues related to budgeting, financing, planning, organizing, leading, coordinating, controlling and staffing for profit, nonprofit and public organizations.",Inclusive,8,,Summer 2025
"Foundations of Hospitality, Hotel Management and Tourism",HGMT,"Hospitality, Hotel Management, and Tourism",HGMT,201,Undergraduate,"Theoretical foundations of the hospitality, hotel management, and tourism profession; professional philosophy, present status, prospects for the future and the role of hospitality, hotel management, and tourism in modern society.",Inclusive,8,,Summer 2025
Garden Science,HORT,Horticultural Sciences,HORT,301,Undergraduate,"Identification, propagation, soil management, fertilization, growth control, and protection of common garden plants: indoor ornamentals, landscape ornamentals, fruits, and vegetables; special topics include home landscaping, container gardens, bonsai, herbs and medicinal plants, and hobby greenhouse management; overview of the effects of organic and non-organic practices on the garden ecosystem.",Inclusive,15,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=59278,Summer 2025
Introduction to the Science of Health and Fitness: Pilates,KINE,Kinesiology and Sport Management,KINE,223,Undergraduate,"Overview of the human body systems; interdisciplinary focus on wellness, fitness, nutrition, disease, drug use; integrated physical activity centering on principles and applications of conditioning; collect data, evaluate information, formulate plans based on findings; experience with pedometers, heart rate monitors, bioelectrical impedance devices, software and other technology; also taught at Galveston campus.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=61439,Summer 2025
The Science of Basic Health and Fitness,KINE,Kinesiology and Sport Management,KINE,120,Undergraduate,"A general overview of the human body. The scientific method is used to introduce students to the fundamentals of stress, exercise, nutrition, disease, and drug use. Interdisciplinary focus on wellness and longevity. Integrated physical activity experiences centering on principles and applications of the scientific basis of conditioning.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=63630,Summer 2025
Legal and Social Environment of Business,MGMT,Management,MGMT,311,Undergraduate,Role of government in business and society; analysis of social policy and legal institutions; ethical problems in management decisions; administrative law; antitrust law; employment and discrimination law; regulation of business transactions; protection of property rights; regulation of information in markets including securities and product safety; international business law.,Inclusive,16,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=64024,Summer 2025
Care of the Older Adult for the RN,NURS,College of Nursing,NURS,465,Undergraduate,The student will develop competencies and knowledge necessary for providing care and promote health aging in the older adult.,Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202611&crn=22170,Summer 2025
Health Promotion Across the Lifespan for the RN,NURS,College of Nursing,NURS,464,Undergraduate,"This course emphasizes the role of the nurse in health promotion across multiple settings with diverse populations. The student will apply principles of teaching/learning, case management, and genetics/genomics to improve the health of general and vulnerable populations.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=22103,Summer 2025
Pathophysiology and Pharmacology for the RN,NURS,College of Nursing,NURS,462,Undergraduate,Students will demonstrate the ability to incorporate the principles of pathophysiology and pharmacology in planning healthcare for individuals across the lifespan.,Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=22099,Summer 2025
Application of Evidence Based Practice for the RN,NURS,College of Nursing,NURS,461,Undergraduate,This course is a study of basic research methodologies and an in depth examination of the professional nurse’s role in the application of evidence into clinical practice,Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202611&crn=22167,Summer 2025
Nursing Dimensions and Informatics for the RN,NURS,College of Nursing,NURS,460,Undergraduate,"This course is designed to build on the informatics knowledge and skills of the practicing nurse. Emphasis is placed on the application of the ANA Standards for Nursing Informatics and Professional Practice and incorporation of information technology to support patient care and clinical decision-making. The course will assist the students to develop the professional role by incorporation of the philosophy of nursing, nursing theory, and clinical reasoning. The nurse’s role in interprofessional practice will be explored. The influence of ethics and cultural/society issues on the nursing profession are explored as well as opportunities for personal and professional development.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202611&crn=32067,Summer 2025
Transition to Professional Nursing Practice,NURS,College of Nursing,NURS,430,Undergraduate,"Course reflects content that will prepare senior students for transition of entry into practice. Theories and principles concerning human behavior in organizations, with emphasis on leadership roles encountered in professional nursing practice. Senior nursing students in collaboration with nursing faculty refine coordination of care for a diverse population of clients. A clinical practicum will focus on synthesizing and refining skills in the delivery and management of nursing care to various groups of clients. Concepts of clinical decisionmaking, and inter-professional dynamics are incorporated in the context of legal, ethical, and evidence-based practice.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=55423,Summer 2025
Care of Community Health Clients,NURS,College of Nursing,NURS,421,Undergraduate,"The nursing process is utilized in the study of community/public health nursing practice and common health problems encountered in community settings. Health promotion, maintenance, counseling and coordination of care are utilized in providing care to individuals, families, aggregates and populations in community settings. Principles and skills of public health nursing practice are used to assess a community’s health and diagnose community health needs.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=60054,Summer 2025
Nursing Care of Children and Families,NURS,College of Nursing,NURS,431,Undergraduate,"A study of the factors influencing health promotion, protection and maintenance of infants, children and adolescents; examination of family theory, growth and development, primary health care, and acute, chronic, and terminal conditions; clinical experience in caring for healthy, atrisk, acutely and chronically ill infants, children, adolescents and their families.",Inclusive,3,,Summer 2025
Care of Mental Health Clients,NURS,College of Nursing,NURS,412,Undergraduate,"Demonstrates the relevance of psychosocial nursing concepts to all areas of professional practice. Provides a conceptual integration of the nursing process, theories and research from psychosocial sciences and humanities as these relate to the care of persons with mental disorders. Clinical experience provides an opportunity for application of psychosocial concepts and methods in using the nursing process to promote optimal levels of wellness for individuals, families and target groups.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=28083,Summer 2025
Adult Nursing I,NURS,College of Nursing,NURS,320,Undergraduate,"This course introduces the student to the use of the nursing process in the care of adults with chronic or non-complex illness. The course uses a systems approach to discuss the effects of illness on individual and family, and to examine the disruption of growth and development patterns across the lifespan from young adult to senior years, emphasizing the nursing process to assist adults in reaching their optimal level of wellness. The course includes clinical laboratory to allow the student the opportunity to apply theoretical concepts to clinical practice in diverse adult populations.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=28344,Summer 2025
Nursing and the Aged,NURS,College of Nursing,NURS,315,Undergraduate,"This course presents an overview of age-related changes including physical, emotional, social and environmental transitions in the aging family. Emphasis is placed on developmental patterns and health promotion in the population.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=43611,Summer 2025
Community Nutrition,NUTR,Nutrition,NUTR,430,Undergraduate,Principles of assessing nutrition problems in populations and planning nutrition programs to promote health in communities including nutrition education and food and nutrition policy; introduction to food and nutrition assistance programs.,Inclusive,2,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=45328,Summer 2025
Fundamentals of Human Nutrition,NUTR,Nutrition,NUTR,202,Undergraduate,This introductory course focuses on principles of nutrition with application to the physiologic needs of individuals; food sources of nutrients and selection of an adequate diet; formulation of Dietary Reference Intakes; and nutritional surveillance.,Inclusive,2,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=64042,Summer 2025
Accident Investigation,PHLT,Environmental and Occupational Health,PHLT,333,Undergraduate,"This course covers principles of accident investigation and how accidents happen in the workplace. This course integrates procedural, systematic, corrective, and formative applications for the occupational health professional.",Inclusive,8,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=52447,Summer 2025
Social Context of Population Health,PHLT,Health Behavior,PHLT,303,Undergraduate,"Exploration of social determinants of population health and the socio-cultural roots of health improvement; socioeconomic, behavioral and other factors that impact human health and contribute to health improvement and health disparities.",Inclusive,"3,10",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=57680,Summer 2025
Foundations of Public Health,PHLT,Health Policy and Management,PHLT,302,Undergraduate,"This course discusses the history, philosophy, and development of public health. Topics include definitions of population health and wellness, determinants of health, health status indicators and measurement, community health, the core functions and essential services, and the theory and practice of health improvement. In addition, public health interventions are explored and explained, with an emphasis on public health practice.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=57678,Summer 2025
Ethnic Conflict,POLS,Political Science,POLS,312,Undergraduate,"The course material is divided into three sections. First, we will consider the different means by which governments have structured ethnic relations and evaluate the strengths and weaknesses associated with each approach. Second, we will discuss theories seeking to explain why these domestic arrangements for containing conflict have sometimes broken down and ethnic violence has emerged. Third, we will evaluate the costs and benefits of different strategies for facilitating the peaceful resolution of existing conflicts.",Inclusive,16,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202611&crn=54068,Summer 2025
Social Change,SOCI,Sociology,SOCI,311,Undergraduate,"This course offers a comprehensive survey of major transformations in American and Western societies, exploring the forces that drive social change and the tensions that arise as a result. Through historical and contemporary perspectives, students will analyze how political, economic, environmental, and cultural dynamics have shaped global development and inequality. The course emphasizes global interdependence and the evolution of social institutions in response to shifting power structures and ideologies. Students will explore dynamics of development and globalization, with a focus on how these processes shape social, political, and environmental realities across the globe.",Inclusive,"10,16",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=31369,Summer 2025
Introduction to Race and Ethnicity,SOCI,Sociology,SOCI,217,Undergraduate,"In this course, we will focus on how sociologists define and use the concepts of “race” and “ethnicity,” and how sociologists use theories and data to learn about race and ethnicity. This course will introduce you to the sociology of race and ethnicity, providing you with the resources needed to investigate the issues more fully. This course is not designed to teach you what to think about racial and ethnic issues, but instead how to think critically about them. This course requires you to use your critical thinking, reading, and writing skills in the analysis of materials regarding racial and ethnic minority groups in the United States.",Inclusive,10,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=49507,Summer 2025
Diversity in Sport Organizations,SPMT,Kinesiology and Sport Management,SPMT,336,Undergraduate,"This course examines an encompassing perspective of diversity and inclusion within North American and international sport organizations. Specifically, the course provides students with an analysis and understanding of the various ways that people within sport organizations can differ, and how power differences based on this diversity impact life and work experiences, opportunities, and outcomes. The course treats issues of the non-dominant, historically underrepresented elements of U.S. society, with a particular emphasis placed on racial, ethnic, religion, sexual orientation, and gender issues.",Inclusive,10,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=12743,Summer 2025
Introduction to GIS in Landscape Architecture and Urban Planning,URPN,Landscape Architecture and Urban Planning,URPN,325,Undergraduate,"This is an introductory course in Geographic Information Systems (GIS). In it, students will develop a clear understanding of fundamental concepts, principles, and functions of GIS. Topics of emphasis include cartography, coordinate systems, data acquisition, data accuracy, database development, and spatial analysis. Through regularly scheduled readings and exercises, students will build proficiency in the use of GIS software and related hardware.",Inclusive,"9,11",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=18369,Summer 2025
Italy Global Health and Lifestyle,VIBS,Veterinary Integrative Biosciences,VIBS,289,Undergraduate,"Study abroad course that focuses on healthy lifestyles and life expectancy around the world; explores cultural competency, as contextualized by the Association of American Medical Colleges, within a global context; and emphasizes how societal infrastructure, along with cultural values, can impact individual health and the experience of aging.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=35338,Summer 2025
Special Topics: Communication Skills in Healthcare,VTPP,Veterinary Physiology and Pharmacology,VTPP,489,Undergraduate,"This course will offer an introduction in the foundation of therapeutic behavior and communication in healthcare in the context of gathering information, working with different groups of patients and their families, conducting interviews, communicating in crisis situations, and bringing up “the bad news”. The internship includes discussion of cases, participating in interviews, participation in communication with difficult patients and discussion, simulations of challenging communicative situations.",Inclusive,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202611&crn=60283,Summer 2025
Introduction to Women's and Gender Studies,WGST,Women's and Gender Studies,WGST,200,Undergraduate,"Historical and cross-cultural perspectives on women's roles in culture, the workplace, the family and other socio-political institutions; the social construction of gender; sexuality and racism; social control mechanisms and ideologies.",Inclusive,"5,10",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=61406,Summer 2025
Introduction to Transportation Planning,PLAN,Landscape Architecture and Urban Planning,PLAN,612,Graduate,"This course provides a comprehensive overview of several important concepts related to urban transportation planning. The topics covered in this course are organized into three themes. Theme A sets the scene for our study in urban transportation planning. Trends in public transportation, urban development, relevant legislation, and public policy decision-making processes will be studied as a general background for transportation planning. In Theme B, we discuss some of the most common aspects of transportation planning, such as travel demand analysis, transportation finance, and the interactions between land use and transportation. Theme C addresses various compelling issues challenging the current transportation planners and policymakers.",Focused,"3,7,10,11,15",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=12472,Summer 2025
Ecology and Society,RWFM,"Rangeland, Wildlife and Fisheries Management",RWFM,420,Graduate,"Study and compare human and natural ecosystems using diversity, interrelations, cycles, and energy as the conceptional organization; central themes of the course are natural resource stewardship, scientific application, and environmental sustainability. Students will apply tools of wildlife management as a framework for natural resource management, exploring how these tools reflect and impact societal order and economic considerations locally and globally.",Focused,"12,15",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=54319,Summer 2025
Social and Ethical Aspects of International Cropping Systems/Ethical Aspects of International Agricultural Systems,SCSC,Soil and Crop Sciences,SCSC,613,Graduate,"Philosophical basis of ethical decisions; includes slavery, war, population growth, migration, farm workers, chemical inputs, genetically modified organisms, soil and water conservation and protection of wild species.",Focused,"2,15,16",,Summer 2025
Design Fundamentals III,ARCH,Architecture,ARCH,603,Graduate,"Theory and practice of architecture; methods and techniques used in the analysis and synthesis of concepts unique to spatial enclosure; developing responses to building systems; objects in a current cultural, physical, or social context; complex building programs, site development and design solutions integrating formally expressive visual ideas and functional planning.",Inclusive,11,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=10066,Summer 2025
Teaching ESL,BESL,Educational Psychology,BESL,622,Graduate,"Survey of the approaches, methods, and techniques applicable to English as a Second Language (ESL) instruction; examination of various facets of the language classroom; examination of ESL instruction in various socio-political contexts.",Inclusive,"4,10",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=61846,Summer 2025
Foundations of School Counseling,CPSY,Educational Psychology,CPSY,630,Graduate,"The course covers the philosophical, psychological, and sociological concepts fundamental to counseling in schools. The purpose of this course is to develop an understanding of the various roles of the professional school counselor and the various professional issues related to school counseling.",Inclusive,4,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=16795,Summer 2025
Counseling Theories for School Counselors,CPSY,Educational Psychology,CPSY,600,Graduate,The course is designed to provide students an overview of various counseling theories and its application in a school setting.,Inclusive,4,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=26716,Summer 2025
Fundamentals of Cybersecurity,CSCE,Computer Science and Engineering,CSCE,701,Graduate,"Basic terminology, concepts, technology, and trends of cybersecurity; foundations of cybersecurity to include cryptography, public key infrastructure, standards and protocols, physical security, network fundamentals; workings of systems, networks, infrastructure; legal and ethical issues in cybersecurity.",Inclusive,9,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=33678,Summer 2025
Distributed Systems and Cloud Computing,CSCE,Computer Science and Engineering,CSCE,678,Graduate,"This course introduces students to fundamental concepts in distributed systems and cloud computing, as well as covers several contemporary topics in applying cloud computing technologies. The materials of this course are based on many influential papers published at top system conferences including ACM SOCC, ACM SOSP, USENIX OSDI, USENIX ATC, USENIX Security, USENIX HotCloud, IEEE IC2E, IEEE S&P, IEEE Transactions on Cloud Computing, etc.",Inclusive,9,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=33698,Summer 2025
Deep Learning,CSCE,Computer Science and Engineering,CSCE,636,Graduate,"The course covers fundamental techniques and best pracces in deep learning, including the mathemacal building blocks of neural networks, programming languages for deep learning, deep learning for classicaon and regression, fundamental machine learning techniques for deep learning, universal workow of deep learning, deep learning for computer vision, deep learning for me-series and text, generave deep learning, hyper-parameter opmizaon, and deep reinforcement learning.",Inclusive,9,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=62232,Summer 2025
21st Century Integration of Theory in Educational Settings,EDCI,"Teaching, Learning, and Culture",EDCI,752,Graduate,Examination of various curricular issues and pedagogical implications encountered by schools and educators in the 21st century classroom; examination of various theoretical frameworks needed to address those issues and implications and advance student understanding.,Inclusive,4,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=34546,Summer 2025
Developing Student’s Disciplinary Language and Reading in STEM Teaching and Learning,EDCI,"Teaching, Learning, and Culture",EDCI,723,Graduate,"The course focuses on STEM disciplinary language and reading through an examination, analysis, and application of instructional design in secondary education. An array of topics will be covered that include: vocabulary, fluency, factors influencing comprehension, language structures, and writing to integrate, evaluate, and assimilate the learning outcomes.",Inclusive,4,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=34492,Summer 2025
Society and Education in World Perspective,EDCI,"Teaching, Learning, and Culture",EDCI,645,Graduate,"This course is designed to examine sociocultural, economic, and political forces that impact educational systems around the world. The class will assess how different countries define and promote both teacher quality as well as teaching quality. In addition, we will examine and analyze issues, problems and solutions as they relate to providing all children with an equitable and equal education around the world. Important global issues as they relate to education and perspective consciousness will also be examined.",Inclusive,"4,10",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=25244,Summer 2025
"Science, Technology, Engineering, and Mathematics (STEM) Teaching and Learning",EDCI,"Teaching, Learning, and Culture",EDCI,620,Graduate,Examination of integrated and multidisciplinary practice-based pedagogies; building of interdisciplinary bridges among content areas; melding sociocultural and cognitive factors influencing STEM education across K-12 levels; discussion of underrepresented groups binding best practices; development and evaluation of STEM project-based learning.,Inclusive,4,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=35252,Summer 2025
Cultural Foundations of Education,EDCI,"Teaching, Learning, and Culture",EDCI,602,Graduate,"A study of the social, cultural, and historical foundations of education, this course examines how factors such as race, class, gender, language, and ability shape educational systems and influence student experiences. Designed for educators and educational leaders, the course emphasizes culturally relevant and socially just practices.",Inclusive,"4,10",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=20722,Summer 2025
Qualitative Methods,EDAD,Educational Administration and Human Resource Dev.,EDAD,690,Graduate,"The intent of this course is to develop a theoretical understanding of qualitative research and how this theory applies to your understanding of how to conduct qualitative research. This class teaches students how to collect and analyze data, conduct cross cultural research, consider ethical dimensions in conducting qualitative to evaluate sound methodological practices and design qualitative research studies.",Inclusive,9,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=62425,Summer 2025
Understanding Research from a Consumer’s Perspective,EPSY,Educational Psychology,EPSY,607,Graduate,"Introduction to skills, knowledge, and strategies for reading and interpreting research articles and reports; how to evaluate the quality of such reports; becoming competent, critical readers and consumers of research in the Social Sciences.",Inclusive,9,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=59427,Summer 2025
